point_name,building,unit,system,variable,source_type,protocol_preferred,address_type,address,data_type,engineering_unit,polling_seconds,writable,active
A_A301_ROOM_ELECTRICITY_KWH,A,A301,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,1,float,kWh,30,false,true
A_A301_ROOM_WATER_COLD_M3,A,A301,ROOM,WATER_COLD_M3,room,modbus,holding_register,3,float,m3,30,false,true
A_A301_ROOM_WATER_HOT_M3,A,A301,ROOM,WATER_HOT_M3,room,modbus,holding_register,5,float,m3,30,false,true
A_A301_ROOM_FC_KWH,A,A301,ROOM,FC_KWH,room,modbus,holding_register,7,float,kWh,30,false,true
A_A301_ROOM_RETURN_TEMP_C,A,A301,ROOM,RETURN_TEMP_C,room,modbus,holding_register,9,float,C,30,false,true
A_A301_ROOM_LEAK_ALARM,A,A301,ROOM,LEAK_ALARM,room,bacnet,object_instance,10001,bool,bool,30,false,true
A_A301_ROOM_OCCUPANCY,A,A301,ROOM,OCCUPANCY,room,bacnet,object_instance,10002,bool,bool,30,false,true
A_A301_ROOM_SETPOINT_C,A,A301,ROOM,SETPOINT_C,room,bacnet,object_instance,10003,float,C,30,false,true
A_A301_ROOM_HUMIDITY_RH,A,A301,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10004,float,%,30,false,true
A_A302_ROOM_ELECTRICITY_KWH,A,A302,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,11,float,kWh,30,false,true
A_A302_ROOM_WATER_COLD_M3,A,A302,ROOM,WATER_COLD_M3,room,modbus,holding_register,13,float,m3,30,false,true
A_A302_ROOM_WATER_HOT_M3,A,A302,ROOM,WATER_HOT_M3,room,modbus,holding_register,15,float,m3,30,false,true
A_A302_ROOM_FC_KWH,A,A302,ROOM,FC_KWH,room,modbus,holding_register,17,float,kWh,30,false,true
A_A302_ROOM_RETURN_TEMP_C,A,A302,ROOM,RETURN_TEMP_C,room,modbus,holding_register,19,float,C,30,false,true
A_A302_ROOM_LEAK_ALARM,A,A302,ROOM,LEAK_ALARM,room,bacnet,object_instance,10005,bool,bool,30,false,true
A_A302_ROOM_OCCUPANCY,A,A302,ROOM,OCCUPANCY,room,bacnet,object_instance,10006,bool,bool,30,false,true
A_A302_ROOM_SETPOINT_C,A,A302,ROOM,SETPOINT_C,room,bacnet,object_instance,10007,float,C,30,false,true
